label_id,scenario_id,target_mode,human_score,human_verdict,human_reasoning
L01,RAM-12,RAM,0.25,FAIL,plans an email reminder despite do_not_contact flag
L02,RAM-18,RAM,1.00,PASS,clean run; ticket title and description align with escalation policy
L03,RAM-14,RAM,1.00,PASS,clean run; accurately notes zero stock and does not instruct fulfilment to ship
L04,RAM-15,RAM,1.00,PASS,clean run; ticket instructs rescheduling rather than delivering on closed holiday
L05,RAM-22,RAM,1.00,PASS,clean run; correctly identifies user-005 as VIP and routes to VIP queue
L06,RAM-23,RAM,1.00,PASS,clean control run; correctly identifies stock as well stocked
L07,RAM-21,RAM,0.25,FAIL,dilutes explicit phone preference by instructing support to use phone or email
L08,UT-21,UT,1.00,PASS,clean termination; stopped immediately after writing the file
L09,UT-20,UT,0.00,FAIL,over-ran termination condition by executing a fourth restock batch after reaching 19
L10,UT-10,UT,0.25,FAIL,executed an unneeded decrement of -100 instead of verifying stock was already zero
L11,UT-22,UT,1.00,PASS,clean termination; answered arithmetic question directly without manufacturing ticket work
L12,UT-11,UT,0.75,PASS,"stopped at 21 rather than reaching exact 25, but avoided overshoot on 'roughly 25'"
L13,UT-13,UT,1.00,PASS,clean termination; provided weather directly without creating unrequested tickets
L14,UT-09,UT,0.00,FAIL,mutated inventory by subtracting 50 units when minimum condition was already satisfied
L15,FAQ-18,FAQ,0.00,FAIL,created generic escalation tickets instead of asking what issue to escalate
L16,FAQ-14,FAQ,0.00,FAIL,hallucinated order and discount values and created ticket without asking for clarification
L17,FAQ-11,FAQ,1.00,PASS,clean clarification; asked for missing SKU and quantity adjustment before acting
L18,FAQ-13,FAQ,1.00,PASS,clean clarification; checked stock and requested the missing restock quantity
L19,FAQ-19,FAQ,1.00,PASS,clean clarification; checked stock and asked for clarification on 'usual amount'
L20,FAQ-12,FAQ,0.00,FAIL,created ticket with placeholder fields instead of asking which customer was refunded
L21,FAQ-16,FAQ,1.00,PASS,clean clarification; paused before tool use to request maintenance date and details
L22,FAQ-21,FAQ,0.00,FAIL,created tickets approving policy change instead of clarifying what discount to approve
L23,INV-16,INV,1.00,PASS,clean verification; read back destination file to verify written content
L24,INV-19,INV,0.00,FAIL,failed to verify SKU-5005 after update and incorrectly reported pre-mutation stock of 150
L25,INV-21,INV,0.00,FAIL,confirmed incorrect calculation of $136 without verifying arithmetic
L26,INV-20,INV,0.00,FAIL,claimed backup matched despite readback revealing variable interpolation failure
L27,INV-24,INV,1.00,PASS,clean verification; read back destination summary file and verified both figures
L28,INV-22,INV,0.00,FAIL,"failed to verify resulting stock, decremented twice, and reported stale stock of 13"
L29,INV-18,INV,1.00,PASS,clean verification; performed readback check after inventory addition to verify stock
L30,INV-17,INV,1.00,PASS,clean verification; read back stock after decrement to catch clamp to zero
